name.forbes-billionaires,lastName.forbes-billionaires,uri.forbes-billionaires,imageUri.forbes-billionaires,worthChange.forbes-billionaires,age.forbes-billionaires,source.forbes-billionaires,industry.forbes-billionaires,gender.forbes-billionaires,country.forbes-billionaires,timestamp.forbes-billionaires,realTimeWorth.forbes-billionaires,realTimeRank.forbes-billionaires,realTimePosition.forbes-billionaires,position.forbes-china-billionaires,rank.forbes-china-billionaires,name.forbes-china-billionaires,lastName.forbes-china-billionaires,uri.forbes-china-billionaires,imageUri.forbes-china-billionaires,worth.forbes-china-billionaires,age.forbes-china-billionaires,source.forbes-china-billionaires,industry.forbes-china-billionaires,gender.forbes-china-billionaires,Cosine
Sun Guangxin,Sun,sun-guangxin,sun-guangxin,63.432,55,diversified,Diversified,M,China,1516704901086,3655.867,638,638,74,73,Sun Guangxin,Sun,sun-guangxin,sun-guangxin,3600,55,diversified,Diversified,M,//specials-images.forbesimg.com/imageserve/589db0c14bbe6f0e55867045/416x416.jpg?background=000000&cropX1=92&cropX2=673&cropY1=55&cropY2=637,99
Yu Yong,Yu,yu-yong,no-pic,151.894,56,mining,Finance and Investments,M,China,1516704901086,6441.151,291,291,40,40,Yu Yong,Yu,yu-yong,no-pic,5400,56,mining,Finance and Investments,M,99
Lin Xiucheng,Lin,lin-xiucheng,lin-xiucheng,286.758,62,electronics,Technology,M,China,1516704901086,5638.047,354,354,32,32,Lin Xiucheng,Lin,lin-xiucheng,lin-xiucheng,5740,62,electronics,Technology,M,http://specials-images.forbesimg.com/imageserve/c6c43100dbae28f161e7055a5e75f340/416x416.jpg?background=000000&cropX1=8&cropX2=591&cropY1=105&cropY2=688,99
Qiu Guanghe,Qiu,qiu-guanghe,qiu-guanghe,-52.389,66,fashion retail,Fashion & Retail,M,China,1516704901086,3542.221,668,668,83,83,Qiu Guanghe,Qiu,qiu-guanghe,qiu-guanghe,3300,66,fashion retail,Fashion & Retail,M,99
Shi Yuzhu,Shi,shi-yuzhu,shi-yuzhu,44.296,55,"online games investments",Diversified,M,China,1516704901086,3180.913,753,753,82,82,Shi Yuzhu,Shi,shi-yuzhu,shi-yuzhu,3350,55,"online games investments",Diversified,M,//specials-images.forbesimg.com/imageserve/5a06160531358e542c051cbe/416x416.jpg?background=000000&cropX1=690&cropX2=2700&cropY1=4&cropY2=2015,99
Wang Yusuo,Wang,wang-yusuo,wang-yusuo,104.665,53,natural gas distribution,Energy,M,China,1516704901086,4035.956,564,564,58,57,Wang Yusuo,Wang,wang-yusuo,wang-yusuo,4100,53,natural gas distribution,Energy,M,//specials-images.forbesimg.com/imageserve/589de96aa7ea431f32193304/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=77&cropY2=821,99
Neil Bluhm,Bluhm,neil-bluhm,neil-bluhm,0,80,real estate,Real Estate,M,United States,1516704901086,3283.034,729,729,335,333,Neil Shen,Shen,neil-shen,neil-shen,1200,50,venture capital investing,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/5953dfbfa7ea43335db663b8/416x416.jpg?background=000000&cropX1=143&cropX2=794&cropY1=49&cropY2=700,49
Jack & Laura Dangermond,Dangermond,jack-laura-dangermond,no-pic,0,72,mapping software,Technology,empty,United States,1516704901086,4295.805,531,531,3,3,Jack Ma,Ma,jack-ma,jack-ma,38600,53,e-commerce,Technology,M,//specials-images.forbesimg.com/imageserve/5a0b1dbf4bbe6f6cadc8775a/416x416.jpg?background=000000&cropX1=746&cropX2=3724&cropY1=0&cropY2=2976,35
Jiang Bin,Jiang,jiang-bin,jiang-bin,-68.05,51,acoustic components,Technology,M,China,1516704901086,3713.79,630,630,48,48,Jiang Bin,Jiang,jiang-bin,jiang-bin,4700,51,acoustic components,Technology,M,http://specials-images.forbesimg.com/imageserve/33882d7aaf458263cb07411d98863327/416x416.jpg?background=000000&cropX1=151&cropX2=644&cropY1=37&cropY2=530,99
Nie Tengyun,Nie,nie-tengyun,no-pic,83.35,41,logistics,Service,M,China,1516704901086,3602.224,648,648,37,36,Nie Tengyun,Nie,nie-tengyun,no-pic,5650,41,logistics,Service,M,//specials-images.forbesimg.com/imageserve/5a0b21e74bbe6f6cadc877fd/416x416.jpg?background=000000&cropX1=1207&cropX2=4354&cropY1=289&cropY2=3434,99
Ye Chenghai,Ye,ye-chenghai,ye-chenghai,70.807,74,pharmaceuticals,Healthcare,M,Hong Kong,1516704901086,4803.34,445,445,60,60,Ye Chenghai,Ye,ye-chenghai,ye-chenghai,4000,74,pharmaceuticals,Healthcare,M,99
Zhang Xin,Zhang,zhang-xin,zhang-xin,34.014,52,real estate,Real Estate,F,China,1516704901086,3865.471,603,603,70,69,Zhang Xin,Zhang,zhang-xin,zhang-xin,3700,52,real estate,Real Estate,F,99
Liu Zhongtian,Liu,liu-zhongtian,liu-zhongtian,21.099,53,aluminum products,Manufacturing,M,China,1516704901086,3678.857,635,635,67,67,Liu Zhongtian,Liu,liu-zhongtian,liu-zhongtian,3750,53,aluminum products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a0b25cc4bbe6f6cadc87890/416x416.jpg?background=000000&cropX1=630&cropX2=2546&cropY1=9&cropY2=1923,99
Daniel Tsai,Tsai,daniel-tsai,daniel-tsai,3.479,61,finance,Finance and Investments,M,Taiwan,1516704901086,3392.682,702,702,99,98,Huang Shih Tsai,Huang,huang-shih-tsai,huang-shih-tsai,2800,66,real estate,Real Estate,M,40
Richard Tsai,Tsai,richard-tsai,richard-tsai,3.479,60,finance,Finance and Investments,M,Taiwan,1516704901086,3392.07,703,703,99,98,Huang Shih Tsai,Huang,huang-shih-tsai,huang-shih-tsai,2800,66,real estate,Real Estate,M,40
Simon Xie,Xie,simon-xie,simon-xie,13.348,48,online payment service,Technology,M,China,1516704901086,3025.706,794,794,96,94,Simon Xie,Xie,simon-xie,simon-xie,3000,48,online payment service,Technology,M,http://specials-images.forbesimg.com/imageserve/eb0f2e7c5736b370425f7365da5bacad/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=102&cropY2=846,99
Yang Kai,Yang,yang-kai,yang-kai,empty,61,dairy products,Food and Beverage,M,China,1506115666677,6,6,Yang Huiyan,Yang,yang-huiyan,yang-huiyan,20700,36,real estate,Real Estate,F,//specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602,49
Yang Kai,Yang,yang-kai,yang-kai,empty,61,dairy products,Food and Beverage,M,China,1506115666677,200,199,Yang Erzhu,Yang,yang-erzhu,no-pic,1730,67,Real Estate,Real Estate,M,49
Yang Kai,Yang,yang-kai,yang-kai,empty,61,dairy products,Food and Beverage,M,China,1506115666677,214,212,Meirong Yang,Yang,meirong-yang,no-pic,1650,empty,Education,Service,49
Yang Kai,Yang,yang-kai,yang-kai,empty,61,dairy products,Food and Beverage,M,China,1506115666677,282,282,Bu Yang,Bu,bu-yang,no-pic-female,1370,empty,retail,Fashion & Retail,F,49
Yang Kai,Yang,yang-kai,yang-kai,empty,61,dairy products,Food and Beverage,M,China,1506115666677,338,333,Yang Tingdong,Yang,yang-tingdong,no-pic,1200,57,brewery,Food and Beverage,M,49
Yang Kai,Yang,yang-kai,yang-kai,empty,61,dairy products,Food and Beverage,M,China,1506115666677,342,339,Yang Zhimao,Yang,yang-zhimao,no-pic,1190,55,"utilities real estate",Diversified,M,49
Yang Kai,Yang,yang-kai,yang-kai,empty,61,dairy products,Food and Beverage,M,China,1506115666677,350,344,Yang Shaopeng,Yang,yang-shaopeng,no-pic,1170,60,Shipping,Logistics,M,49
Yang Kai,Yang,yang-kai,yang-kai,empty,61,dairy products,Food and Beverage,M,China,1506115666677,389,383,Yang Jianxin,Yang,yang-jianxin,no-pic,1100,48,apparel,Technology,M,49
Jane Goldman,Goldman,jane-goldman,no-pic-female,0,62,real estate,Real Estate,F,United States,1516704901086,3123.22,770,770,337,333,Jane Yan,Yan,jane-yan,jane-yan,1200,48,software,Technology,F,//specials-images.forbesimg.com/imageserve/58c32b964bbe6f0e55885cca/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,49
Samuel Tak Lee,Lee,samuel-tak-lee,no-pic,5.318,78,real estate,Real Estate,M,Hong Kong,1516704901086,4123.666,554,554,116,116,Cho Tak Wong,Cho,cho-tak-wong,cho-tak-wong,2490,71,auto parts,Manufacturing,M,//specials-images.forbesimg.com/imageserve/58c8650c31358e1a35ad018d/416x416.jpg?background=000000&cropX1=118&cropX2=612&cropY1=158&cropY2=653,33
Samuel Tak Lee,Lee,samuel-tak-lee,no-pic,5.318,78,real estate,Real Estate,M,Hong Kong,1516704901086,4123.666,554,554,340,339,Lee Yin Yee,Lee,lee-yin-yee,no-pic,1190,66,Glass,Manufacturing,M,33
Xiao Wenge,Xiao,xiao-wenge,xiao-wenge,-48.135,51,entertainment,Media & Entertainment,M,China,1516704901086,2429.003,1035,1035,125,125,Xiao Wenge,Xiao,xiao-wenge,xiao-wenge,2360,51,entertainment,Media & Entertainment,M,99
Jacky Xu,Xu,jacky-xu,no-pic,1.383,46,apparel,Fashion & Retail,M,St. Kitts and Nevis,1516704901086,3270.704,733,733,103,103,Jacky Xu,Xu,jacky-xu,no-pic,2690,46,apparel,Fashion & Retail,M,99
Lee Bass,Bass,lee-bass,lee-bass,13.09,61,"oil investments",Energy,M,United States,1516704901086,2650.175,937,937,340,339,Lee Yin Yee,Lee,lee-yin-yee,no-pic,1190,66,Glass,Manufacturing,M,40
Jason Chang,Chang,jason-chang,jason-chang,25.716,73,electronics,Technology,M,Singapore,1516704901086,3233.927,740,740,34,34,Jason Jiang,Jiang,jason-jiang,jason-jiang,5700,45,advertising,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/589d054e31358e1a35ab0a82/416x416.jpg?background=000000&cropX1=147&cropX2=703&cropY1=61&cropY2=617,49
Min Kao,Kao,min-kao,min-kao,6.554,69,navigation equipment,Technology,M,United States,1516704901086,3500.69,683,683,204,202,Kong Jian Min,Kong,kong-jian-min,kong-jian-min,1700,50,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/58a658d831358e1a35ab8d3a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784,40
Ke Zunhong,Ke,ke-zunhong,no-pic,-60.248,63,pharmaceuticals,Healthcare,M,China,1516704901086,3519.991,678,678,62,62,Ke Zunhong,Ke,ke-zunhong,no-pic,3980,63,pharmaceuticals,Healthcare,M,http://specials-images.forbesimg.com/imageserve/5809454531358e238315e7e0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=174&cropY2=918,99
Meisong Lai,Lai,meisong-lai,no-pic,-57.708,47,package delivery,Logistics,M,China,1516704901086,3340.881,714,714,86,86,Meisong Lai,Lai,meisong-lai,no-pic,3250,47,package delivery,Logistics,M,//specials-images.forbesimg.com/imageserve/5a06178531358e542c051cef/416x416.jpg?background=000000&cropX1=1059&cropX2=4488&cropY1=15&cropY2=3441,99
Chanchai Ruayrungruang,Ruayrungruang,chanchai-ruayrungruang,chanchai-ruayrungruang,1.867,64,real estate,Real Estate,M,China,1516704901086,1156.518,1909,1909,387,383,Chanchai Ruayrungruang,Ruayrungruang,chanchai-ruayrungruang,chanchai-ruayrungruang,1100,64,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589ce07aa7ea431f321925bd/416x416.jpg?background=000000&cropX1=106&cropX2=708&cropY1=110&cropY2=713,99
Zhang Fan,Zhang,zhang-fan,no-pic,47.08,52,biometrics,Technology,M,China,1516704901086,3159.38,758,758,77,76,Zhang Fan,Zhang,zhang-fan,no-pic,3500,52,touch screens,Technology,M,99
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,12,12,Zhang Zhidong,Zhang,zhang-zhidong,zhang-zhidong,13400,46,internet media,Technology,M,http://specials-images.forbesimg.com/imageserve/8c2c90c2667221740e4fe57cde754bf8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=73&cropY2=817,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,27,27,Zhang Jinmei,Zhang,zhang-jinmei,no-pic-female,6500,empty,conglomerate,Automotive,F,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,38,36,Zhang Jindong,Zhang,zhang-jindong,zhang-jindong,5650,54,appliance retailer,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a05f7bea7ea436b47b53361/416x416.jpg?background=000000&cropX1=1033&cropX2=2323&cropY1=300&cropY2=1590,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,44,44,Zhang Bangxin,Zhang,zhang-bangxin,no-pic,5000,38,after-school tutoring,Service,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,47,47,Zhang Shiping,Zhang,zhang-shiping,zhang-shiping,4800,70,aluminum products,Metals & Mining,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,61,60,Zhang Yiming,Zhang,zhang-yiming,no-pic,4000,34,software,Technology,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,70,69,Zhang Xin,Zhang,zhang-xin,zhang-xin,3700,52,real estate,Real Estate,F,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,75,73,Zhang Jin,Zhang,zhang-jin,no-pic,3600,46,diversified,Diversified,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,77,76,Zhang Fan,Zhang,zhang-fan,no-pic,3500,52,touch screens,Technology,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,85,83,Zhang Li,Zhang,zhang-li,zhang-li,3300,65,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589f297d31358e1a35ab26d9/416x416.jpg?background=000000&cropX1=159&cropX2=744&cropY1=31&cropY2=616,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,108,106,Zhang Wenzhong,Zhang,zhang-wenzhong,no-pic,2600,56,Retail,Fashion & Retail,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,149,147,Zhang Xiugen,Zhang,zhang-xiugen,no-pic,2100,57,automobiles,Automotive,M,//specials-images.forbesimg.com/imageserve/589f2ba431358e1a35ab26e5/416x416.jpg?background=000000&cropX1=27&cropX2=673&cropY1=73&cropY2=719,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,174,172,Zhang Daocai,Zhang,zhang-daocai,no-pic,1870,68,valves,Diversified,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,198,196,Zhang Xuansong,Zhang,zhang-xuansong,zhang-xuansong,1740,46,supermarket,Fashion & Retail,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,224,222,Zhang Wanzhen,Zhang,zhang-wanzhen,no-pic,1620,68,advanced ceramics,Manufacturing,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,236,235,Zhang Guiping,Zhang,zhang-guiping,zhang-guiping,1560,66,real estate,Real Estate,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,250,245,Zhang Tao,Zhang,zhang-tao,no-pic,1500,empty,empty,Fashion & Retail,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,265,263,Zhang Jingzhang,Zhang,zhang-jingzhang,no-pic,1440,82,precision machinery,Manufacturing,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,319,317,Zhang Yubai,Zhang,zhang-yubai,no-pic,1250,53,Wine,Food and Beverage,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,328,324,Zhang Zhangsun,Zhang,zhang-zhangsun,zhang-zhangsun,1220,61,real estate,Real Estate,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,369,362,Zhang Zhirong,Zhang,zhang-zhirong,zhang-zhirong,1150,49,"real estate shipbuilding",Diversified,M,49
Zhang Xiaojuan,Zhang,zhang-xiaojuan,no-pic-female,28.352,48,logistics,Logistics,F,China,1516704901086,1984.607,1275,1275,400,395,Zhang Xinghai,Zhang,zhang-xinghai,no-pic,1070,55,machinery,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589f2afaa7ea431f32194780/416x416.jpg?background=000000&cropX1=6&cropX2=736&cropY1=50&cropY2=780,49
Do Won & Jin Sook Chang,Chang,do-won-jin-sook-chang,no-pic,0,62,fashion retail,Fashion & Retail,empty,United States,1516704901086,3235.357,739,739,75,73,Zhang Jin,Zhang,zhang-jin,no-pic,3600,46,diversified,Diversified,M,28
Do Won & Jin Sook Chang,Chang,do-won-jin-sook-chang,no-pic,0,62,fashion retail,Fashion & Retail,empty,United States,1516704901086,3235.357,739,739,383,383,Jin Huiming,Jin,jin-huiming,no-pic,1100,65,real estate,Real Estate,M,28
Chen Fashu,Chen,chen-fashu,chen-fashu,136.879,57,investments,Finance and Investments,M,China,1516704901086,3182.103,752,752,90,90,Chen Fashu,Chen,chen-fashu,chen-fashu,3100,57,investments,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/5a061a6b31358e542c051d52/416x416.jpg?background=000000&cropX1=400&cropX2=2723&cropY1=5&cropY2=2326,99
Gao Tianguo,Gao,gao-tianguo,no-pic,-8.386,66,"real estate finance",Real Estate,M,China,1516704901086,3623.434,643,643,69,69,Gao Tianguo,Gao,gao-tianguo,no-pic,3700,66,"real estate finance",Real Estate,M,99
Huang Shih Tsai,Huang,huang-shih-tsai,huang-shih-tsai,0,66,real estate,Real Estate,M,Hong Kong,1516704901086,2966.896,818,818,99,98,Huang Shih Tsai,Huang,huang-shih-tsai,huang-shih-tsai,2800,66,real estate,Real Estate,M,100
Herbert Simon,Simon,herbert-simon,herbert-simon,15.706,83,real estate,Real Estate,M,United States,1516704901086,2800.476,880,880,96,94,Simon Xie,Xie,simon-xie,simon-xie,3000,48,online payment service,Technology,M,http://specials-images.forbesimg.com/imageserve/eb0f2e7c5736b370425f7365da5bacad/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=102&cropY2=846,49
Cai Kui,Cai,cai-kui,cai-kui,316.808,55,real estate,Real Estate,M,China,1516704901086,5495.826,367,367,57,57,Cai Kui,Cai,cai-kui,cai-kui,4100,55,real estate,Real Estate,M,99
Cao Longxiang,Cao,cao-longxiang,no-pic,65.886,60,pharmaceuticals,Healthcare,M,China,1516704901086,4008.82,569,569,65,65,Cao Longxiang,Cao,cao-longxiang,no-pic,3820,60,pharmaceuticals,Healthcare,M,http://specials-images.forbesimg.com/imageserve/56c68eb1e4b062f6b59a1458/416x416.jpg?background=000000&cropX1=159&cropX2=634&cropY1=305&cropY2=780,99
Jen-Hsun Huang,Huang,jen-hsun-huang,jen-hsun-huang,85.227,54,semiconductors,Technology,M,United States,1516704901086,5747.261,341,341,71,71,Huang Rulun,Huang,huang-rulun,huang-rulun,3650,66,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/b8f39daf7c442a93e854518a273084a2/416x416.jpg?background=000000&cropX1=69&cropX2=716&cropY1=142&cropY2=790,49
Jen-Hsun Huang,Huang,jen-hsun-huang,jen-hsun-huang,85.227,54,semiconductors,Technology,M,United States,1516704901086,5747.261,341,341,105,105,Huang Wei,Huang,huang-wei,no-pic,2670,58,real estate,Real Estate,M,49
Jen-Hsun Huang,Huang,jen-hsun-huang,jen-hsun-huang,85.227,54,semiconductors,Technology,M,United States,1516704901086,5747.261,341,341,147,147,Huang Zhenda,Huang,huang-zhenda,huang-zhenda,2100,70,construction,Construction & Engineering,M,//specials-images.forbesimg.com/imageserve/589d027da7ea431f321928c5/416x416.jpg?background=000000&cropX1=188&cropX2=681&cropY1=153&cropY2=646,49
Jen-Hsun Huang,Huang,jen-hsun-huang,jen-hsun-huang,85.227,54,semiconductors,Technology,M,United States,1516704901086,5747.261,341,341,166,166,Huang Hongyun,Huang,huang-hongyun,huang-hongyun,1900,51,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/58c3299931358e1a35accc03/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=172&cropY2=916,49
Jen-Hsun Huang,Huang,jen-hsun-huang,jen-hsun-huang,85.227,54,semiconductors,Technology,M,United States,1516704901086,5747.261,341,341,172,172,Huang Yi,Huang,huang-yi,no-pic,1870,56,auto distribution,Automotive,M,49
Jen-Hsun Huang,Huang,jen-hsun-huang,jen-hsun-huang,85.227,54,semiconductors,Technology,M,United States,1516704901086,5747.261,341,341,223,222,Huang Chulong,Huang,huang-chulong,huang-chulong,1620,59,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589cce694bbe6f0e5586650d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=164&cropY2=908,49
Jen-Hsun Huang,Huang,jen-hsun-huang,jen-hsun-huang,85.227,54,semiconductors,Technology,M,United States,1516704901086,5747.261,341,341,246,245,Huang Qiaoling,Huang,huang-qiaoling,huang-qiaoling,1500,59,amusement parks,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/589cffdb4bbe6f0e55866afb/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=122&cropY2=866,49
Jen-Hsun Huang,Huang,jen-hsun-huang,jen-hsun-huang,85.227,54,semiconductors,Technology,M,United States,1516704901086,5747.261,341,341,287,286,Huang Zhuangmian,Huang,huang-zhuangmian,no-pic,1340,47,logistics,Logistics,M,49
Jen-Hsun Huang,Huang,jen-hsun-huang,jen-hsun-huang,85.227,54,semiconductors,Technology,M,United States,1516704901086,5747.261,341,341,331,329,Huang Qisen,Huang,huang-qisen,huang-qisen,1210,53,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d013c4bbe6f0e55866afe/416x416.jpg?background=000000&cropX1=74&cropX2=630&cropY1=76&cropY2=632,49
Jen-Hsun Huang,Huang,jen-hsun-huang,jen-hsun-huang,85.227,54,semiconductors,Technology,M,United States,1516704901086,5747.261,341,341,339,339,Huang Li,Huang,huang-li-1,huang-li-1,1190,54,imaging systems,Technology,M,//specials-images.forbesimg.com/imageserve/589d00f431358e1a35ab0a5f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=93&cropY2=837,49
Jen-Hsun Huang,Huang,jen-hsun-huang,jen-hsun-huang,85.227,54,semiconductors,Technology,M,United States,1516704901086,5747.261,341,341,354,352,Huang Bingwen,Huang,huang-bingwen,no-pic,1160,64,cigarette packaging,Manufacturing,M,49
Huang Wei,Huang,huang-wei,no-pic,-10.705,58,real estate,Real Estate,M,China,1516704901086,3336.527,716,716,105,105,Huang Wei,Huang,huang-wei,no-pic,2670,58,real estate,Real Estate,M,99
Lu Xiangyang,Lu,lu-xiangyang,lu-xiangyang,162.541,55,"automobiles batteries",Automotive,M,China,1516704901086,3463.644,694,694,76,76,Lu Xiangyang,Lu,lu-xiangyang,lu-xiangyang,3500,55,"automobiles batteries",Automotive,M,99
Rita Tong Liu,Tong Liu,rita-tong-liu,no-pic-female,0,69,real estate,Real Estate,F,Hong Kong,1516704901086,3424.586,700,700,18,18,Liu Qiangdong,Liu,liu-qiangdong,liu-qiangdong,9400,43,e-commerce,Technology,M,//specials-images.forbesimg.com/imageserve/5a05f122a7ea436b47b532de/416x416.jpg?background=000000&cropX1=269&cropX2=2788&cropY1=5&cropY2=2523,40
Rita Tong Liu,Tong Liu,rita-tong-liu,no-pic-female,0,69,real estate,Real Estate,F,Hong Kong,1516704901086,3424.586,700,700,28,28,Liu Yongxing,Liu,liu-yongxing,liu-yongxing,6400,69,agribusiness,Service,M,//specials-images.forbesimg.com/imageserve/5a05f5144bbe6f37dda229ca/416x416.jpg?background=000000&cropX1=358&cropX2=3209&cropY1=6&cropY2=2855,40
Rita Tong Liu,Tong Liu,rita-tong-liu,no-pic-female,0,69,real estate,Real Estate,F,Hong Kong,1516704901086,3424.586,700,700,46,46,Liu Yonghao,Liu,liu-yonghao,liu-yonghao,4850,66,agribusiness,Service,M,//specials-images.forbesimg.com/imageserve/5a05f9194bbe6f37dda22a3f/416x416.jpg?background=000000&cropX1=314&cropX2=2971&cropY1=6&cropY2=2662,40
Rita Tong Liu,Tong Liu,rita-tong-liu,no-pic-female,0,69,real estate,Real Estate,F,Hong Kong,1516704901086,3424.586,700,700,67,67,Liu Zhongtian,Liu,liu-zhongtian,liu-zhongtian,3750,53,aluminum products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a0b25cc4bbe6f6cadc87890/416x416.jpg?background=000000&cropX1=630&cropX2=2546&cropY1=9&cropY2=1923,40
Rita Tong Liu,Tong Liu,rita-tong-liu,no-pic-female,0,69,real estate,Real Estate,F,Hong Kong,1516704901086,3424.586,700,700,138,138,Tong Jinquan,Tong,tong-jinquan,no-pic,2250,63,real estate,Real Estate,M,40
Rita Tong Liu,Tong Liu,rita-tong-liu,no-pic-female,0,69,real estate,Real Estate,F,Hong Kong,1516704901086,3424.586,700,700,184,184,Liu Zhiqiang,Liu,liu-zhiqiang,liu-zhiqiang,1800,53,conglomerate,Diversified,M,40
Rita Tong Liu,Tong Liu,rita-tong-liu,no-pic-female,0,69,real estate,Real Estate,F,Hong Kong,1516704901086,3424.586,700,700,199,199,Liu Hanyuan,Liu,liu-hanyuan,no-pic,1730,54,agribusiness,Food and Beverage,M,//specials-images.forbesimg.com/imageserve/589d23b131358e1a35ab0b56/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=155&cropY2=899,40
Rita Tong Liu,Tong Liu,rita-tong-liu,no-pic-female,0,69,real estate,Real Estate,F,Hong Kong,1516704901086,3424.586,700,700,220,218,Liu Baolin,Liu,liu-baolin,liu-baolin,1630,64,pharmacies,Fashion & Retail,M,40
Rita Tong Liu,Tong Liu,rita-tong-liu,no-pic-female,0,69,real estate,Real Estate,F,Hong Kong,1516704901086,3424.586,700,700,289,286,Liu Shaobo,Liu,liu-shaobo,no-pic,1340,56,printed circuit boards,Technology,M,40
Rita Tong Liu,Tong Liu,rita-tong-liu,no-pic-female,0,69,real estate,Real Estate,F,Hong Kong,1516704901086,3424.586,700,700,292,291,Liu Zhenguo,Liu,liu-zhenguo,no-pic,1330,52,sewage treatment,Service,M,40
